feature,label,boundary
/TCG-15/features/subject_1_instance_1.npy,/TCG-15/gt_arr/subject_1_instance_1.npy,/TCG-15/gt_boundary_arr/subject_1_instance_1.npy
/TCG-15/features/subject_1_instance_2.npy,/TCG-15/gt_arr/subject_1_instance_2.npy,/TCG-15/gt_boundary_arr/subject_1_instance_2.npy
/TCG-15/features/subject_1_instance_3.npy,/TCG-15/gt_arr/subject_1_instance_3.npy,/TCG-15/gt_boundary_arr/subject_1_instance_3.npy
/TCG-15/features/subject_1_instance_4.npy,/TCG-15/gt_arr/subject_1_instance_4.npy,/TCG-15/gt_boundary_arr/subject_1_instance_4.npy
/TCG-15/features/subject_1_instance_5.npy,/TCG-15/gt_arr/subject_1_instance_5.npy,/TCG-15/gt_boundary_arr/subject_1_instance_5.npy
/TCG-15/features/subject_1_instance_6.npy,/TCG-15/gt_arr/subject_1_instance_6.npy,/TCG-15/gt_boundary_arr/subject_1_instance_6.npy
/TCG-15/features/subject_1_instance_7.npy,/TCG-15/gt_arr/subject_1_instance_7.npy,/TCG-15/gt_boundary_arr/subject_1_instance_7.npy
/TCG-15/features/subject_1_instance_8.npy,/TCG-15/gt_arr/subject_1_instance_8.npy,/TCG-15/gt_boundary_arr/subject_1_instance_8.npy
/TCG-15/features/subject_1_instance_9.npy,/TCG-15/gt_arr/subject_1_instance_9.npy,/TCG-15/gt_boundary_arr/subject_1_instance_9.npy
/TCG-15/features/subject_1_instance_11.npy,/TCG-15/gt_arr/subject_1_instance_11.npy,/TCG-15/gt_boundary_arr/subject_1_instance_11.npy
/TCG-15/features/subject_1_instance_12.npy,/TCG-15/gt_arr/subject_1_instance_12.npy,/TCG-15/gt_boundary_arr/subject_1_instance_12.npy
/TCG-15/features/subject_1_instance_13.npy,/TCG-15/gt_arr/subject_1_instance_13.npy,/TCG-15/gt_boundary_arr/subject_1_instance_13.npy
/TCG-15/features/subject_1_instance_14.npy,/TCG-15/gt_arr/subject_1_instance_14.npy,/TCG-15/gt_boundary_arr/subject_1_instance_14.npy
